Name,Date,Water Vol,On-Line,Av BHP,Spot BHP,Av BHT,Av WHP,Cum WHP,Cum Volume
IA04,2006-05-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-05-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
IA04,2006-06-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0
