Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
37,1285.0765627121386,66300.47793926271,559.3086469826936,37710.57201358831,628.8406731781795,37646.978765381245,686.097474943478,42209.483274939834,883.0525685897513,41496.12272779097,458.76810889155473,21158.208902077808
38,862.1499231219865,67162.6278623847,525.0058579822902,38235.5778715706,507.78162803295845,38154.7603934142,559.7627308196044,42769.246005759436,702.1091218325078,42198.23184962348,520.7416189117579,21678.950520989565
39,989.0893618908284,68151.71722427553,550.9797894044625,38786.55766097506,476.48520610171744,38631.24559951592,576.2801314306329,43345.52613719007,691.4896073918059,42889.72145701529,437.4776964163784,22116.428217405944
40,961.8985154609583,69113.61573973649,509.0653846908937,39295.623045665954,517.9194029077498,39149.165002423666,594.5080096337921,43940.03414682386,691.8723163299337,43581.59377334522,442.9773190831282,22559.405536489074
41,1418.9573222693787,70532.57306200586,680.1858374925783,39975.808883158534,599.8568958658335,39749.0218982895,732.5257250456799,44672.55987186954,683.371347341653,44264.96512068687,391.3445386127575,22950.75007510183
42,1151.1750403735227,71683.74810237938,641.6204356614933,40617.429318820024,632.0243425750635,40381.04624086457,720.4540706542447,45393.01394252379,726.3209913731249,44991.28611206,472.51012596842094,23423.26020107025
43,985.0442121256201,72668.792314505,670.3095555327203,41287.73887435275,549.7966440949436,40930.842884959515,610.7364960315311,46003.75043855532,637.5974809656319,45628.88359302563,574.9806054675138,23998.240806537764
44,83.95207035907916,72752.74438486408,581.1989732475278,41868.937847600275,536.069688686509,41466.91257364603,482.2151584280166,46485.96559698333,783.6403755790094,46412.52396860464,455.8176598183996,24454.058466356164
45,1260.527044724774,74013.27142958886,464.2617021855602,42333.19954978584,546.2558310840268,42013.16840473005,561.2145152356148,47047.18011221895,649.1926794489569,47061.716648053596,443.0799897843062,24897.13845614047
46,1130.7201052146934,75143.99153480356,668.006605438858,43001.206155224696,534.0858139455021,42547.25421867555,692.6327260435445,47739.81283826249,695.4470899420368,47757.16373799563,383.47544598960013,25280.61390213007
