,time,prod1,prod2,prod3,prod4,prod5,prod6,prod7,inj1,inj2,inj3,inj4
1043,1043,6389.978076169729,8123.069707081303,5603.934063755952,0.0,2446.794400343777,19190.84963888025,0.0,30094.19763054147,30679.802369458528,0.0,0.0
1044,1044,6392.433255733538,8126.1907811292085,5396.917377587803,0.0,2465.761799808272,19099.07287198381,0.0,30001.79886193107,30759.20113806893,0.0,0.0
1045,1045,6414.452385452992,8154.181945334831,5375.53204080504,0.0,2493.522233540434,19170.25630810305,0.0,30252.927411336274,30733.072588663726,0.0,0.0
1046,1046,6391.917511078579,8125.5351560655,5314.618428620639,0.0,2502.4982696814977,19101.85406079759,0.0,31404.91872799085,30623.081272009145,0.0,0.0
1047,1047,6408.600790044025,8159.435517569193,5219.765408013714,0.0,2535.268978337292,19215.89572027592,0.0,31503.827013136517,30707.17298686348,0.0,0.0
1048,1048,6416.838505513834,8186.386079675405,5203.568573166517,0.0,2555.5850877290304,19137.20885915792,0.0,31007.051925261163,30318.261203358103,303.6868713807358,0.0
1049,1049,6438.171296709467,8226.587130002954,5227.128810144799,0.0,2594.1505059772635,19280.65694539514,0.0,30216.682172611258,30263.69805979132,8868.619767597416,0.0
1050,1050,6520.275088941675,8248.596453742928,4724.387163834896,0.0,2588.1523596961288,19691.617004014435,0.0,29083.029967947758,31197.820253124635,12048.14977892761,0.0
1051,1051,6502.095711231019,8266.46757387538,4779.455727037707,0.0,2611.3816673511838,19629.812088734627,0.0,29032.577475031398,31207.87921007705,12287.54331489155,0.0
1052,1052,6412.6631064375215,8124.855673076578,4658.600052796119,0.0,2665.417369741121,19316.349337210908,0.0,29000.227912909675,31260.505072508597,12213.26701458173,0.0
1053,1053,6393.021965581814,8128.634944476434,4385.517245746881,0.0,2614.3738505000742,19311.4519919685,0.0,29658.046716751003,33254.55685773301,5484.39642551598,0.0
1054,1054,6451.588513336329,8203.10146269234,3875.592398118707,0.0,2653.815713782802,19377.901910356013,0.0,17743.73408747106,34632.265912528936,0.0,0.0
1055,1055,6087.408288206658,7169.045000255485,3555.5252819679918,0.0,2526.3460602422847,18448.78388773021,0.0,31796.13541831769,33288.86458168231,0.0,0.0
1056,1056,6552.397065319539,8218.267783503268,3767.1854887332142,0.0,2753.8203190876397,19786.329341618286,0.0,31701.23889597022,33267.761104029785,0.0,0.0
1057,1057,6539.212512457564,8306.247572538357,3783.6631487689788,0.0,2704.776838925093,19839.09992557003,0.0,31985.940542039305,18564.384442624512,2639.6750153361822,0.0
1058,1058,6544.065465870881,8312.411897742992,3747.192950789386,0.0,2726.9666147544,19860.363069101073,0.0,31574.554619958093,19018.96850418156,3062.4768758603495,0.0
1059,1059,6512.654000610653,8318.155458148462,3745.3856932968515,0.0,2748.819090074301,19853.985756127582,0.0,31122.857764652523,35610.87498009979,578.2672552476837,0.0
1060,1060,6379.820255596324,8252.14423751323,3770.2000218603102,0.0,2744.9961158095316,19722.2864074912,0.0,31032.26898820151,35078.05128848466,2348.679723313832,0.0
1061,1061,5411.8563183546075,3597.572841164957,1220.6885184023147,0.0,2683.8910070776683,19286.917373636494,0.0,31025.538758661733,33749.41160738769,2347.049633950584,0.0
1062,1062,6634.978680205995,8566.699702263944,3787.502953424116,0.0,2935.549918276494,20715.775492027995,0.0,31036.46626971357,33468.32813232411,1829.205597962321,0.0
1063,1063,6463.310849942085,8447.14027920705,3902.8960121188297,0.0,2885.2050716815015,20157.26849327975,0.0,30739.164549775116,33427.357015409965,586.4784348149198,0.0
1064,1064,6660.159907285829,8456.552603327205,3973.557526373351,0.0,2842.2420485833386,20451.48791263697,0.0,30148.258006118573,33013.74199388143,0.0,0.0
1065,1065,6678.535944095303,8450.702302365993,3973.9115852566774,0.0,2865.895301317602,20429.95486517174,0.0,30077.48403973536,32860.51596026464,0.0,0.0
1066,1066,6706.026947822146,8501.892958336684,3952.375480686241,0.0,2897.703891549461,20504.799995806938,0.0,29709.323210450548,33089.68200139522,1839.9947881542378,0.0
1067,1067,6716.67970117734,8498.967601601082,3955.8553682042216,0.0,2917.531439970294,20544.10313624466,0.0,29372.991549163133,34177.638631281494,662.3698195553741,0.0
1068,1068,6517.090510709427,8377.250248243849,3536.4206094996425,0.0,2910.9877309842113,20432.98535879515,0.0,29456.15087648535,33379.84912351465,0.0,0.0
1069,1069,5174.988021931335,6392.073830213257,2792.5585342946943,0.0,2655.1982645221933,15764.009187650916,0.0,22628.372137878145,14091.627862121853,0.0,0.0
1070,1070,6031.148253522408,6544.7963699460215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071,1071,5957.425506177825,6611.376797290109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,1072,6039.178451953961,6706.1351635062865,0.0,0.0,0.0,0.0,0.0,6498.931826044613,7302.153214985313,485.9149589700721,0.0
1073,1073,5810.223410705011,7347.549669689176,0.0,0.0,3089.2414529184534,0.0,0.0,19923.37338757975,23350.5204954123,316.1061170079436,0.0
1074,1074,7628.026881272931,7841.910895262081,0.0,0.0,872.76149067854,15324.300731449135,0.0,0.0,0.0,0.0,0.0
1075,1075,11476.83040347238,10300.515000531997,0.0,0.0,3241.6078028679403,21473.046791159373,0.0,9922.206255028228,8202.230032688742,453.5637122830326,0.0
1076,1076,11316.475261623005,10146.764377350511,0.0,0.0,3173.9702605809316,21240.790855518197,0.0,28618.97720546309,33129.02279453691,0.0,0.0
1077,1077,11224.741877620647,10059.388798827475,0.0,0.0,3155.187442465624,21082.681544968316,0.0,30281.63915992646,33340.36084007354,0.0,0.0
1078,1078,11163.69738476718,9996.865367190803,0.0,0.0,3127.925253663373,20930.51090931625,0.0,27798.14493835202,33386.9010573629,2925.954004285086,0.0
1079,1079,10901.277382443363,9734.91917486386,5337.315146665993,0.0,3050.303205575649,20407.185088359645,0.0,30991.17679178235,33305.307752345805,3894.515455871845,0.0
